,Time,Open,High,Low,Close
0,2022-10-25 05:30:00,2499.0,2499.0,2438.0,2441.55
1,2022-10-27 05:30:00,2458.0,2468.45,2432.8,2451.15
2,2022-10-28 05:30:00,2465.0,2535.0,2459.45,2526.15
3,2022-10-31 05:30:00,2541.0,2560.95,2532.2,2549.6
4,2022-11-01 05:30:00,2600.0,2600.0,2508.0,2529.85
5,2022-11-02 05:30:00,2532.3,2550.2,2515.0,2545.65
6,2022-11-03 05:30:00,2529.85,2559.55,2525.05,2555.15
7,2022-11-04 05:30:00,2553.9,2600.0,2551.1,2592.75
8,2022-11-07 05:30:00,2591.0,2610.3,2574.0,2606.6
9,2022-11-09 05:30:00,2610.3,2621.95,2590.05,2604.0
10,2022-11-10 05:30:00,2590.0,2596.55,2563.0,2572.5
11,2022-11-11 05:30:00,2600.0,2636.0,2588.0,2631.8
12,2022-11-14 05:30:00,2630.75,2642.0,2605.15,2619.05
13,2022-11-15 05:30:00,2622.3,2626.4,2590.0,2607.3
14,2022-11-16 05:30:00,2610.0,2615.95,2581.35,2592.35
15,2022-11-17 05:30:00,2584.95,2613.0,2580.0,2599.05
16,2022-11-18 05:30:00,2606.75,2609.0,2571.1,2597.65
17,2022-11-21 05:30:00,2588.0,2588.0,2543.1,2550.9
18,2022-11-22 05:30:00,2545.0,2568.5,2536.5,2565.05
19,2022-11-23 05:30:00,2575.0,2577.9,2552.25,2557.05
20,2022-11-24 05:30:00,2566.0,2594.0,2548.2,2579.1
21,2022-11-25 05:30:00,2589.0,2624.9,2582.1,2617.6
22,2022-11-28 05:30:00,2608.9,2721.05,2502.0,2707.55
23,2022-11-29 05:30:00,2703.95,2731.65,2694.0,2712.2
24,2022-11-30 05:30:00,2712.5,2745.45,2698.2,2731.35
25,2022-12-01 05:30:00,2741.8,2755.0,2716.0,2723.3
26,2022-12-02 05:30:00,2730.0,2748.0,2700.6,2722.15
27,2022-12-05 05:30:00,2712.0,2716.75,2678.0,2682.45
28,2022-12-06 05:30:00,2665.1,2697.0,2661.0,2690.2
29,2022-12-07 05:30:00,2685.0,2695.0,2642.15,2650.5
30,2022-12-08 05:30:00,2660.0,2665.0,2640.1,2649.25
31,2022-12-09 05:30:00,2646.0,2660.0,2601.85,2609.1
32,2022-12-12 05:30:00,2585.5,2623.0,2585.0,2613.1
33,2022-12-13 05:30:00,2613.1,2633.0,2606.7,2625.0
34,2022-12-14 05:30:00,2637.65,2638.95,2611.0,2615.5
35,2022-12-15 05:30:00,2602.5,2615.0,2571.0,2578.35
36,2022-12-16 05:30:00,2571.0,2618.8,2558.15,2565.6
37,2022-12-19 05:30:00,2581.0,2604.0,2566.7,2599.3
38,2022-12-20 05:30:00,2583.9,2626.0,2566.0,2621.8
39,2022-12-21 05:30:00,2621.0,2633.0,2576.1,2584.5
40,2022-12-22 05:30:00,2598.0,2604.65,2566.75,2577.8
41,2022-12-23 05:30:00,2563.3,2590.5,2492.25,2502.2
42,2022-12-26 05:30:00,2514.75,2542.0,2492.4,2524.05
43,2022-12-27 05:30:00,2530.0,2548.8,2515.25,2544.7
44,2022-12-28 05:30:00,2538.0,2549.8,2521.5,2544.45
45,2022-12-29 05:30:00,2527.0,2548.9,2525.5,2543.3
46,2022-12-30 05:30:00,2545.1,2577.0,2541.1,2547.2
47,2023-01-02 05:30:00,2550.0,2579.0,2548.2,2575.9
48,2023-01-03 05:30:00,2565.05,2573.0,2547.8,2557.05
49,2023-01-04 05:30:00,2557.0,2561.05,2514.0,2518.55
50,2023-01-05 05:30:00,2523.5,2536.4,2504.0,2514.05
51,2023-01-06 05:30:00,2526.65,2547.95,2518.3,2536.9
52,2023-01-09 05:30:00,2545.3,2602.0,2543.35,2596.8
53,2023-01-10 05:30:00,2606.0,2606.0,2546.0,2558.4
54,2023-01-11 05:30:00,2552.5,2558.0,2521.1,2526.15
55,2023-01-12 05:30:00,2524.85,2532.5,2465.0,2471.6
56,2023-01-13 05:30:00,2458.4,2472.9,2434.6,2467.6
57,2023-01-16 05:30:00,2472.7,2479.65,2427.0,2444.1
58,2023-01-17 05:30:00,2458.0,2483.0,2450.6,2478.8
59,2023-01-18 05:30:00,2473.5,2491.1,2460.35,2474.7
60,2023-01-19 05:30:00,2472.9,2481.15,2456.65,2472.05
61,2023-01-20 05:30:00,2475.0,2475.0,2437.25,2442.65
62,2023-01-23 05:30:00,2449.0,2466.2,2425.0,2430.3
63,2023-01-24 05:30:00,2440.0,2443.65,2387.35,2415.95
64,2023-01-25 05:30:00,2412.45,2414.7,2380.0,2382.55
65,2023-01-27 05:30:00,2384.4,2387.35,2311.65,2337.35
66,2023-01-30 05:30:00,2331.7,2371.9,2301.0,2359.75
67,2023-01-31 05:30:00,2382.0,2387.65,2341.0,2353.85
68,2023-02-01 05:30:00,2379.95,2379.95,2305.0,2339.9
